word              count
----------------------
A                   4
AK                  2
Act                 3
After               3
Although            2
April               2
Army                12
Armée              2
At                  3
Baltic              2
Belarus             2
Bolingbroke         2
Central             2
Civil               2
Commonwealth        6
Council             2
Duchy               5
Duke                10
Dukes               2
During              11
Eastern             2
Elektrit            2
Empire              7
English             3
Europe              2
February            3
French              2
Front               3
Gediminas           5
German              13
Germans             2
Grand               16
Grande              2
Great               5
Hall                2
Hebrew              2
Henry               2
His                 2
I                   3
II                  4
In                  8
Independence        3
Iron                3
It                  3
Jerusalem           2
Jewish              6
Jews                3
Jogaila             3
June                5
King                6
Kingdom             4
LTDF                6
League              2
Lithuania           46
Lithuanian          32
Lithuanian-speaking 2
Lithuanians         5
Lithuanias          2
Many                2
Moscow              2
Napoleon            4
National            2
Nazi                2
Nazis               3
Neris               2
October             7
Old                 3
On                  7
Operation           2
Order               2
Philharmonic        2
Plechavičius       3
Poland              14
Polish              18
Polish–Lithuanian 2
Povilas             2
Provisional         2
Red                 5
Region              2
Republic            3
River               4
Russia              3
Russian             13
SSR                 2
Second              2
Seimas              3
September           5
Society             2
Soviet              12
Soviets             4
State               2
Teutonic            2
The                 42
This                2
Town                3
Union               5
University          3
Uprising            2
Vilna               7
Vilnia              5
Vilnius             58
Vytautas            3
War                 9
Wilna               3
Wilno               4
Wolf                3
World               7
Yiddish             4
a                   38
about               5
according           4
adopted             2
after               13
again               3
against             3
agreement           2
all                 2
along               3
also                6
among               3
an                  5
and                 90
annexed             3
any                 2
area                3
army                3
as                  29
at                  8
attacks             2
attempted           2
autonomy            2
be                  3
became              4
because             2
before              2
began               2
beginning           2
being               2
building            2
built               3
but                 4
by                  34
called              3
capital             16
captured            2
centre              4
centres             2
century             6
cities              2
city                43
citys               5
civil               3
comprising          2
constituted         2
contested           2
control             2
country             4
court               2
crusaders           2
current             2
declared            2
declined            2
defense             2
devastated          2
development         2
during              7
end                 2
entered             2
established         3
establishment       2
even                2
eventual            2
factory             3
first               6
for                 15
force               2
forces              5
form                2
formed              3
from                13
further             3
ghetto              3
government          7
grant               2
growth              2
had                 7
has                 2
have                2
he                  3
held                2
him                 2
his                 5
however             2
howling             2
important           3
in                  72
including           3
independence        2
inhabitants         4
into                3
invaded             3
invasion            2
involved            2
is                  14
issued              2
it                  11
its                 17
itself              2
known               4
labour              2
lands               2
languages           7
largest             4
later               4
led                 2
many                5
men                 2
minority            2
modern-day          2
most                5
name                6
names               4
national            2
near                3
neither             2
notable             2
occupied            3
occurred            2
of                  154
old                 2
on                  17
one                 7
only                3
or                  2
order               2
organized           4
other               4
over                4
part                4
partisans           2
place               3
political           2
population          14
priest              2
radio               2
region              3
reign               2
remained            2
response            2
retreat             3
rulers              2
scientific          2
seat                2
see                 3
seized              2
sent                2
series              2
set                 2
settled             2
small               3
soldiers            2
sources             2
spoken              2
state               3
states              2
still               4
supported           2
taken               2
territory           3
th                  6
that                5
the                 301
their               4
them                3
then                2
there               2
they                2
this                7
through             3
throughout          2
time                4
to                  55
together            2
took                4
total               2
towards             2
town                2
tried               2
two                 4
ultimatum           3
under               3
until               2
up                  2
uprising            5
used                4
various             3
wars                3
was                 55
were                13
west                2
when                2
which               10
while               2
will                3
with                26
withdrew            3
within              3
world               2
years               2
–                 8
